INSTNM,SATVR75,SATWR75,SATMT75,mn_earn_wne_p10,CITY
POMONA COLLEGE,760,,750,,CLAREMONT
WILLIAMS COLLEGE,760,,750,,WILLIAMSTOWN
UNIVERSITY OF CHICAGO,760,,750,,CHICAGO
WILLIAMS COLLEGE,760,,750,,WILLIAMSTOWN
AMHERST COLLEGE,760,,750,,AMHERST
Bowdoin College,760,750,750,,Brunswick
Wellesley College,760,760,750,,Wellesley
Bowdoin College,760,770,750,,Brunswick
Southeastern Bible College,750,,750,,Birmingham
BROWN UNIVERSITY,750,,750,,PROVIDENCE
Claremont McKenna College,750,,750,,Claremont
UNIVERSITY OF CHICAGO,750,,750,,CHICAGO
CLAREMONT MCKENNA COLLEGE,750,,750,,CLAREMONT
BROWN UNIVERSITY,750,,750,,PROVIDENCE
Georgetown University,750,,750,,Washington
Georgetown University,750,,750,110800,Washington
Grinnell College,750,,750,,Grinnell
Georgetown University,750,,750,,Washington
Claremont McKenna College,750,720,750,98200,Claremont
Carleton College,750,740,750,,Northfield
Wesleyan University,750,740,750,,Middletown
Bowdoin College,750,750,750,66400,Brunswick
Bowdoin College,750,750,750,,Brunswick
Tufts University,750,760,750,,Medford
Haverford College,750,760,750,65100,Haverford
Georgetown University,740,,750,101700,Washington
Georgetown University,740,,750,,Washington
Webb Institute,740,710,750,,Glen Cove
Wellesley College,740,750,750,68200,Wellesley
Haverford College,740,750,750,,Haverford
NORTHWESTERN UNIVERSITY,730,,750,,EVANSTON
WASHINGTON UNIVERSITY IN ST LOUIS,730,,750,,ST LOUIS
NORTHWESTERN UNIVERSITY,730,,750,,EVANSTON
WASHINGTON UNIVERSITY IN ST LOUIS,730,,750,,ST LOUIS
NORTHWESTERN UNIVERSITY,730,,750,,EVANSTON
Northeastern University,730,720,750,,Boston
Emory University,730,740,750,,Atlanta
NORTHWESTERN UNIVERSITY,720,,750,,EVANSTON
JOHNS HOPKINS UNIVERSITY,720,,750,,BALTIMORE
University of Southern California,720,730,750,,Los Angeles
University of Southern California,720,740,750,,Los Angeles
COOPER UNION FOR THE ADVANCEMENT OF SCIENCE AND AR,710,,750,,NEW YORK
University of California-Berkeley,710,710,750,,Berkeley
